"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","60-64","Project Delivery","35","[c]","46430","43360"
"New entrant CS","2023","60-64","Property","35","[c]","33050","33990"
"New entrant CS","2023","60-64","Security","20","[c]","31630","27500"
"New entrant CS","2023","60-64","Unknown","125","[c]","31650","29100"
"New entrant CS","2023","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Debt","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","Digital, Data & Technology","15","[c]","45770","44930"
"New entrant CS","2023","65+","Finance","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","Grants Management","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","No function","330","[c]","31240","23230"
"New entrant CS","2023","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Property","10","[c]","30500","28070"
"New entrant CS","2023","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Unknown","20","[c]","35490","30630"
"New entrant CS","2023","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Digital, Data & Technology","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Human Resources","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","No function","90","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Property","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Security","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
