"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Economics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","AA/AO","45","45","22290","22520"
"In post","2023","16-19","Asian","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Policy","EO","[c]","[c]","[c]","[c]"
