"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","AO","50","50","20980","20980"
"In post","2023","16-19","Attorney General's Departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","EO","10","10","25160","24470"
"In post","2023","16-19","Chancellor's other departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Economics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Other","AA","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","AO","20","20","22270","22150"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Operational Delivery","AO","[c]","[c]","[c]","[c]"
