"Status","Year","Age","Disability","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Planning Inspectorate","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Prison Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Public Pensions Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Security Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Student Awards Agency for Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Submarine Delivery Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Submarine Delivery Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","East of England","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","South East (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Electronics and Components Agency","Wales","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","South West (England)","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
