"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Angus and Dundee City","Outside London","AA","Undeclared","10","10","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","AA","Unknown","320","295","22640","22180"
"In post","2023","Angus and Dundee City","Outside London","AO","Heterosexual / straight","365","335","22610","21690"
"In post","2023","Angus and Dundee City","Outside London","AO","LGBO","30","30","22750","21690"
"In post","2023","Angus and Dundee City","Outside London","AO","Undeclared","45","40","21680","21690"
"In post","2023","Angus and Dundee City","Outside London","AO","Unknown","120","110","23290","21690"
"In post","2023","Angus and Dundee City","Outside London","EO","Heterosexual / straight","535","500","29060","29100"
"In post","2023","Angus and Dundee City","Outside London","EO","LGBO","50","50","29020","29100"
"In post","2023","Angus and Dundee City","Outside London","EO","Undeclared","30","25","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","EO","Unknown","265","250","29470","29100"
"In post","2023","Angus and Dundee City","Outside London","G6","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","G7","Heterosexual / straight","65","60","57650","55990"
"In post","2023","Angus and Dundee City","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","HEO","Heterosexual / straight","190","180","35130","34730"
"In post","2023","Angus and Dundee City","Outside London","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","HEO","Unknown","65","60","35420","34730"
"In post","2023","Angus and Dundee City","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SEO","Heterosexual / straight","85","85","43520","42860"
"In post","2023","Angus and Dundee City","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AA","Heterosexual / straight","85","80","21530","22130"
"In post","2023","Antrim and Newtownabbey","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AA","Heterosexual / straight","80","75","21710","22130"
"In post","2023","Ards and North Down","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AA","Unknown","5","5","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AO","Heterosexual / straight","45","45","22980","22970"
"In post","2023","Ards and North Down","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AO","Heterosexual / straight","65","60","26040","25480"
"In post","2023","Barking & Dagenham and Havering","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","AO","Unknown","20","15","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","EO","Heterosexual / straight","255","230","32310","32520"
"In post","2023","Barking & Dagenham and Havering","London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","EO","Unknown","70","65","32080","32520"
"In post","2023","Barking & Dagenham and Havering","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","HEO","Heterosexual / straight","35","35","38800","39150"
"In post","2023","Barking & Dagenham and Havering","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","HEO","Unknown","15","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","Heterosexual / straight","70","65","35180","34820"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Barnet","London","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Barnet","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Barnet","London","AO","Heterosexual / straight","125","110","25440","25460"
"In post","2023","Barnet","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","AO","Undeclared","25","20","[c]","[c]"
"In post","2023","Barnet","London","AO","Unknown","35","30","25080","24490"
"In post","2023","Barnet","London","EO","Heterosexual / straight","295","280","31050","32200"
"In post","2023","Barnet","London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Barnet","London","EO","Undeclared","30","30","30970","31450"
"In post","2023","Barnet","London","EO","Unknown","85","80","30810","32090"
"In post","2023","Barnet","London","G6","Heterosexual / straight","50","45","72470","72220"
"In post","2023","Barnet","London","G6","LGBO","5","5","[c]","[c]"
"In post","2023","Barnet","London","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Barnet","London","G6","Unknown","30","30","69360","68350"
"In post","2023","Barnet","London","G7","Heterosexual / straight","145","140","58210","56200"
"In post","2023","Barnet","London","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Barnet","London","G7","Undeclared","25","20","[c]","[c]"
"In post","2023","Barnet","London","G7","Unknown","55","55","56960","56070"
"In post","2023","Barnet","London","HEO","Heterosexual / straight","175","170","35390","34100"
"In post","2023","Barnet","London","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Barnet","London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Barnet","London","HEO","Unknown","55","55","36060","36000"
"In post","2023","Barnet","London","SCS level","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Barnet","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","SCS level","Unknown","20","15","[c]","[c]"
"In post","2023","Barnet","London","SEO","Heterosexual / straight","185","185","43390","42510"
"In post","2023","Barnet","London","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Barnet","London","SEO","Undeclared","35","30","43880","41490"
"In post","2023","Barnet","London","SEO","Unknown","70","65","44550","44950"
"In post","2023","Barnet","London","Unknown","Heterosexual / straight","65","60","34760","33050"
"In post","2023","Barnet","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Barnet","London","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AA","Heterosexual / straight","140","130","22790","23230"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AA","LGBO","15","15","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AA","Undeclared","10","10","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AA","Unknown","60","55","23010","23230"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AO","Heterosexual / straight","800","705","26040","24070"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AO","LGBO","50","45","27280","28880"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AO","Undeclared","95","85","25980","21780"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","AO","Unknown","215","195","25870","24070"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","EO","Heterosexual / straight","605","530","29520","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","EO","LGBO","40","40","29740","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","EO","Undeclared","75","65","30440","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","EO","Unknown","140","120","30300","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G7","Heterosexual / straight","30","30","56620","51500"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","HEO","Heterosexual / straight","225","210","35810","34170"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","HEO","LGBO","10","5","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SEO","Heterosexual / straight","95","90","46740","46110"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Heterosexual / straight","270","250","30110","29050"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Unknown","40","35","27530","26840"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Heterosexual / straight","85","80","22330","21380"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Unknown","30","30","23350","23230"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Heterosexual / straight","1025","955","24290","22400"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","LGBO","80","80","24750","24590"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Undeclared","105","95","24510","22240"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Unknown","365","350","23030","22220"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Heterosexual / straight","1005","945","28530","27470"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","LGBO","60","60","29020","28120"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Undeclared","115","105","28640","27650"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Unknown","180","170","27700","27080"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Heterosexual / straight","500","480","69680","69560"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Undeclared","65","65","70660","70490"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Unknown","45","45","71240","70670"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Heterosexual / straight","1420","1380","54820","55110"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","LGBO","40","40","54170","54510"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Undeclared","190","180","54990","55450"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Unknown","110","105","55430","55290"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Heterosexual / straight","2345","2240","33510","32550"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","LGBO","95","95","33850","32500"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Undeclared","255","245","34050","33490"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Unknown","260","250","33620","32560"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Heterosexual / straight","135","130","100350","92170"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Unknown","15","10","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Heterosexual / straight","2885","2785","42390","42560"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","LGBO","105","105","41300","41000"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Undeclared","400","380","42970","42620"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Unknown","215","210","41990","41740"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Heterosexual / straight","1375","1325","42860","40270"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","LGBO","50","50","36040","32500"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Undeclared","160","150","45240","42620"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Unknown","170","165","37830","32550"
"In post","2023","Bedford","Outside London","AA","Heterosexual / straight","35","35","22880","23230"
"In post","2023","Bedford","Outside London","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Bedford","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Bedford","Outside London","AO","Heterosexual / straight","180","170","28590","30880"
"In post","2023","Bedford","Outside London","AO","LGBO","20","20","[c]","[c]"
"In post","2023","Bedford","Outside London","AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Bedford","Outside London","AO","Unknown","40","35","29730","30880"
"In post","2023","Bedford","Outside London","EO","Heterosexual / straight","155","140","28490","28120"
"In post","2023","Bedford","Outside London","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Bedford","Outside London","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","Bedford","Outside London","EO","Unknown","55","50","28170","28120"
"In post","2023","Bedford","Outside London","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Bedford","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Bedford","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Bedford","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
