"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East of England","Bedfordshire and Hertfordshire","EO","1480","1360","30050","30120"
"In post","2023","East of England","Bedfordshire and Hertfordshire","G6","120","115","70680","69010"
"In post","2023","East of England","Bedfordshire and Hertfordshire","G7","340","320","59270","57410"
"In post","2023","East of England","Bedfordshire and Hertfordshire","HEO","620","600","36510","36900"
"In post","2023","East of England","Bedfordshire and Hertfordshire","SCS level","40","40","91540","91850"
"In post","2023","East of England","Bedfordshire and Hertfordshire","SEO","485","465","44370","43760"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Unknown","445","415","30280","29050"
"In post","2023","East of England","East Anglia","AA","900","820","21980","23230"
"In post","2023","East of England","East Anglia","AO","3870","3555","26360","24070"
"In post","2023","East of England","East Anglia","EO","3130","2875","28770","28120"
"In post","2023","East of England","East Anglia","G6","230","215","70150","66860"
"In post","2023","East of England","East Anglia","G7","645","620","55460","53980"
"In post","2023","East of England","East Anglia","HEO","1990","1900","34450","34170"
"In post","2023","East of England","East Anglia","SCS level","65","60","101060","99080"
"In post","2023","East of England","East Anglia","SEO","1255","1205","42790","41200"
"In post","2023","East of England","East Anglia","Unknown","990","900","29120","26840"
"In post","2023","East of England","Essex","AA","185","160","21660","22140"
"In post","2023","East of England","Essex","AO","1075","985","25650","25610"
"In post","2023","East of England","Essex","EO","1785","1630","29790","31280"
"In post","2023","East of England","Essex","G6","45","45","74270","70990"
"In post","2023","East of England","Essex","G7","180","170","58610","55320"
"In post","2023","East of England","Essex","HEO","480","455","35090","34420"
"In post","2023","East of England","Essex","SCS level","15","15","103170","100730"
"In post","2023","East of England","Essex","SEO","275","265","43710","42510"
"In post","2023","East of England","Essex","Unknown","505","465","29500","26840"
"In post","2023","London","Inner London - East","AA","220","205","24790","23670"
"In post","2023","London","Inner London - East","AO","2290","2105","28400","26920"
"In post","2023","London","Inner London - East","EO","4395","4155","32590","32520"
"In post","2023","London","Inner London - East","G6","1330","1285","74050","74110"
"In post","2023","London","Inner London - East","G7","2825","2740","60340","60570"
"In post","2023","London","Inner London - East","HEO","3550","3455","38980","39450"
"In post","2023","London","Inner London - East","SCS level","580","560","99500","94340"
"In post","2023","London","Inner London - East","SEO","2435","2370","46120","45560"
"In post","2023","London","Inner London - East","Unknown","1110","1060","35920","33050"
"In post","2023","London","Inner London - West","AA","550","525","24650","23500"
"In post","2023","London","Inner London - West","AO","3095","2935","28110","25610"
"In post","2023","London","Inner London - West","EO","6350","6160","30540","30030"
"In post","2023","London","Inner London - West","G6","7195","6920","70310","68280"
"In post","2023","London","Inner London - West","G7","15855","15410","57590","56040"
"In post","2023","London","Inner London - West","HEO","11715","11540","35980","35550"
"In post","2023","London","Inner London - West","SCS level","3645","3520","91230","81800"
"In post","2023","London","Inner London - West","SEO","10545","10335","43810","43410"
"In post","2023","London","Inner London - West","Unknown","235","225","37090","34820"
"In post","2023","London","Outer London - East and North East","AA","275","255","25720","26630"
"In post","2023","London","Outer London - East and North East","AO","1345","1230","28470","25610"
"In post","2023","London","Outer London - East and North East","EO","1675","1535","32690","32520"
"In post","2023","London","Outer London - East and North East","G6","30","30","71800","71970"
"In post","2023","London","Outer London - East and North East","G7","55","55","63060","61540"
"In post","2023","London","Outer London - East and North East","HEO","345","335","39080","39150"
"In post","2023","London","Outer London - East and North East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","London","Outer London - East and North East","SEO","150","145","46940","43760"
"In post","2023","London","Outer London - East and North East","Unknown","365","345","34750","33050"
"In post","2023","London","Outer London - South","AA","195","175","23310","23500"
"In post","2023","London","Outer London - South","AO","1885","1735","26410","26400"
"In post","2023","London","Outer London - South","EO","3480","3285","31320","30940"
"In post","2023","London","Outer London - South","G6","615","595","75330","76080"
"In post","2023","London","Outer London - South","G7","1395","1355","62310","61530"
"In post","2023","London","Outer London - South","HEO","2510","2425","37970","37720"
"In post","2023","London","Outer London - South","SCS level","125","125","90360","84020"
"In post","2023","London","Outer London - South","SEO","1775","1715","45510","45150"
"In post","2023","London","Outer London - South","Unknown","360","335","33850","33050"
"In post","2023","London","Outer London - West and North West","AA","305","275","24520","23500"
"In post","2023","London","Outer London - West and North West","AO","1635","1505","27740","26400"
"In post","2023","London","Outer London - West and North West","EO","3905","3600","31220","30710"
"In post","2023","London","Outer London - West and North West","G6","190","180","72470","70230"
"In post","2023","London","Outer London - West and North West","G7","475","460","57230","56500"
"In post","2023","London","Outer London - West and North West","HEO","1355","1295","36210","36180"
"In post","2023","London","Outer London - West and North West","SCS level","60","55","116960","110460"
"In post","2023","London","Outer London - West and North West","SEO","900","875","44130","43420"
"In post","2023","London","Outer London - West and North West","Unknown","395","370","34020","33050"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","AA","515","395","21940","22520"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","AO","7815","6690","22150","22520"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","EO","5925","5440","27930","28120"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","G6","570","555","69270","69940"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","G7","1865","1805","55170","56060"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","HEO","3725","3555","34230","34700"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","SCS level","105","100","90840","80220"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","SEO","2510","2410","41340","42140"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Unknown","615","575","29800","29050"
"In post","2023","North East (England)","Tees Valley and Durham","AA","475","430","22660","23230"
"In post","2023","North East (England)","Tees Valley and Durham","AO","4160","3715","25530","22520"
"In post","2023","North East (England)","Tees Valley and Durham","EO","2540","2310","28430","28120"
"In post","2023","North East (England)","Tees Valley and Durham","G6","160","160","67830","64730"
"In post","2023","North East (England)","Tees Valley and Durham","G7","510","495","54120","51960"
"In post","2023","North East (England)","Tees Valley and Durham","HEO","1195","1135","33560","32420"
"In post","2023","North East (England)","Tees Valley and Durham","SCS level","50","50","89850","80950"
"In post","2023","North East (England)","Tees Valley and Durham","SEO","825","790","41810","39190"
"In post","2023","North East (England)","Tees Valley and Durham","Unknown","700","660","30080","29050"
"In post","2023","North West (England)","Cheshire","AA","160","145","22670","23230"
"In post","2023","North West (England)","Cheshire","AO","1140","1040","25790","23320"
"In post","2023","North West (England)","Cheshire","EO","1290","1215","31330","30740"
"In post","2023","North West (England)","Cheshire","G6","100","95","68430","66280"
"In post","2023","North West (England)","Cheshire","G7","275","265","54900","52330"
"In post","2023","North West (England)","Cheshire","HEO","705","675","37600","38640"
"In post","2023","North West (England)","Cheshire","SCS level","20","20","87470","84570"
"In post","2023","North West (England)","Cheshire","SEO","445","430","44320","46110"
"In post","2023","North West (England)","Cheshire","Unknown","370","345","29610","26840"
"In post","2023","North West (England)","Cumbria","AA","80","70","21890","21380"
"In post","2023","North West (England)","Cumbria","AO","985","890","23510","22150"
"In post","2023","North West (England)","Cumbria","EO","520","470","27680","26850"
"In post","2023","North West (England)","Cumbria","G6","35","35","66200","63770"
"In post","2023","North West (England)","Cumbria","G7","100","100","54060","50360"
"In post","2023","North West (England)","Cumbria","HEO","230","215","32420","31270"
"In post","2023","North West (England)","Cumbria","SCS level","5","5","[c]","[c]"
"In post","2023","North West (England)","Cumbria","SEO","150","145","40350","37980"
"In post","2023","North West (England)","Cumbria","Unknown","360","340","37070","33000"
"In post","2023","North West (England)","Greater Manchester","AA","415","370","21990","22520"
"In post","2023","North West (England)","Greater Manchester","AO","4830","4410","23250","22400"
"In post","2023","North West (England)","Greater Manchester","EO","5690","5340","27780","28120"
"In post","2023","North West (England)","Greater Manchester","G6","705","685","69670","69940"
"In post","2023","North West (England)","Greater Manchester","G7","2265","2200","55300","54680"
"In post","2023","North West (England)","Greater Manchester","HEO","4080","3950","33840","34400"
"In post","2023","North West (England)","Greater Manchester","SCS level","155","155","93140","84430"
"In post","2023","North West (England)","Greater Manchester","SEO","2755","2670","41290","41780"
"In post","2023","North West (England)","Greater Manchester","Unknown","1410","1335","29760","26840"
"In post","2023","North West (England)","Lancashire","AA","475","415","22400","23230"
"In post","2023","North West (England)","Lancashire","AO","5155","4600","23760","21690"
"In post","2023","North West (England)","Lancashire","EO","4525","4120","28440","28120"
"In post","2023","North West (England)","Lancashire","G6","280","270","71050","67010"
"In post","2023","North West (England)","Lancashire","G7","825","795","54570","53400"
"In post","2023","North West (England)","Lancashire","HEO","1635","1530","34770","34170"
"In post","2023","North West (England)","Lancashire","SCS level","55","50","86800","81000"
"In post","2023","North West (England)","Lancashire","SEO","1200","1145","41520","39520"
"In post","2023","North West (England)","Lancashire","Unknown","770","725","29700","26840"
"In post","2023","North West (England)","Merseyside","AA","465","410","20530","19500"
"In post","2023","North West (England)","Merseyside","AO","7155","6390","22620","22400"
"In post","2023","North West (England)","Merseyside","EO","6935","6410","27290","27750"
"In post","2023","North West (England)","Merseyside","G6","375","370","69540","69940"
"In post","2023","North West (England)","Merseyside","G7","1420","1370","56220","56180"
"In post","2023","North West (England)","Merseyside","HEO","3400","3265","33620","34170"
"In post","2023","North West (England)","Merseyside","SCS level","90","90","90490","81660"
"In post","2023","North West (England)","Merseyside","SEO","2160","2085","41620","41680"
"In post","2023","North West (England)","Merseyside","Unknown","910","865","29500","26840"
"In post","2023","Northern Ireland","Northern Ireland","AA","460","445","21640","22130"
"In post","2023","Northern Ireland","Northern Ireland","AO","1265","1155","22610","22520"
"In post","2023","Northern Ireland","Northern Ireland","EO","1170","1120","28040","27890"
"In post","2023","Northern Ireland","Northern Ireland","G6","75","70","71950","71300"
"In post","2023","Northern Ireland","Northern Ireland","G7","280","270","56490","56870"
"In post","2023","Northern Ireland","Northern Ireland","HEO","865","840","34910","34700"
"In post","2023","Northern Ireland","Northern Ireland","SCS level","15","10","81050","78250"
"In post","2023","Northern Ireland","Northern Ireland","SEO","420","405","41540","42140"
"In post","2023","Overseas","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","Overseas","AO","50","50","29700","26740"
"In post","2023","Overseas","Overseas","EO","200","200","34890","33510"
"In post","2023","Overseas","Overseas","G6","440","440","69550","66800"
"In post","2023","Overseas","Overseas","G7","870","865","57710","56100"
"In post","2023","Overseas","Overseas","HEO","1035","1035","40290","35810"
"In post","2023","Overseas","Overseas","SCS level","290","290","87530","77770"
"In post","2023","Overseas","Overseas","SEO","475","475","48830","46000"
"In post","2023","Overseas","Overseas","Unknown","150","150","52350","43590"
"In post","2023","Scotland","Eastern Scotland","AA","1460","1365","23220","22920"
"In post","2023","Scotland","Eastern Scotland","AO","4370","4055","24530","23190"
"In post","2023","Scotland","Eastern Scotland","EO","5680","5325","30790","29450"
"In post","2023","Scotland","Eastern Scotland","G6","1120","1070","75580","76170"
"In post","2023","Scotland","Eastern Scotland","G7","2230","2140","59290","58850"
"In post","2023","Scotland","Eastern Scotland","HEO","3735","3590","36660","35000"
"In post","2023","Scotland","Eastern Scotland","SCS level","280","270","90840","85200"
"In post","2023","Scotland","Eastern Scotland","SEO","2810","2670","46080","45350"
"In post","2023","Scotland","Eastern Scotland","Unknown","25","25","49160","51560"
"In post","2023","Scotland","Highlands and Islands","AA","175","155","22440","22080"
"In post","2023","Scotland","Highlands and Islands","AO","630","595","24510","23700"
"In post","2023","Scotland","Highlands and Islands","EO","680","625","30280","29100"
"In post","2023","Scotland","Highlands and Islands","G6","35","30","75340","74000"
"In post","2023","Scotland","Highlands and Islands","G7","65","60","57440","55430"
"In post","2023","Scotland","Highlands and Islands","HEO","305","295","36260","34730"
"In post","2023","Scotland","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scotland","Highlands and Islands","SEO","140","130","45120","45350"
"In post","2023","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Scotland","North Eastern Scotland","AA","85","65","23250","22920"
"In post","2023","Scotland","North Eastern Scotland","AO","435","410","28750","25710"
"In post","2023","Scotland","North Eastern Scotland","EO","635","590","31200","29450"
"In post","2023","Scotland","North Eastern Scotland","G6","40","40","76710","75740"
"In post","2023","Scotland","North Eastern Scotland","G7","120","115","63330","58850"
"In post","2023","Scotland","North Eastern Scotland","HEO","310","295","38250","36330"
"In post","2023","Scotland","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scotland","North Eastern Scotland","SEO","285","270","57800","49860"
"In post","2023","Scotland","Southern Scotland","AA","180","160","22700","22180"
"In post","2023","Scotland","Southern Scotland","AO","2340","2090","23530","22520"
"In post","2023","Scotland","Southern Scotland","EO","1770","1600","29250","28130"
"In post","2023","Scotland","Southern Scotland","G6","160","155","68590","69530"
"In post","2023","Scotland","Southern Scotland","G7","425","410","54780","53970"
"In post","2023","Scotland","Southern Scotland","HEO","850","800","35510","34950"
"In post","2023","Scotland","Southern Scotland","SCS level","30","30","82850","79210"
"In post","2023","Scotland","Southern Scotland","SEO","460","445","42900","42140"
"In post","2023","Scotland","West Central Scotland","AA","1585","1470","22700","22180"
"In post","2023","Scotland","West Central Scotland","AO","5920","5340","24080","22400"
"In post","2023","Scotland","West Central Scotland","EO","5985","5580","29560","28120"
"In post","2023","Scotland","West Central Scotland","G6","745","715","73300","73540"
"In post","2023","Scotland","West Central Scotland","G7","1510","1455","57690","57260"
"In post","2023","Scotland","West Central Scotland","HEO","3595","3440","35380","34700"
"In post","2023","Scotland","West Central Scotland","SCS level","105","105","89000","85100"
"In post","2023","Scotland","West Central Scotland","SEO","2105","2035","44730","42860"
"In post","2023","Scotland","West Central Scotland","Unknown","85","85","41140","41900"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA","515","480","22070","22520"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","2475","2340","28770","26100"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","2230","2100","30860","29140"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6","220","205","72830","71160"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G7","625","585","57700","56550"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","HEO","1430","1370","36310","35250"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","70","65","98070","93860"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO","1065","1025","44170","43000"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","675","635","30530","28950"
"In post","2023","South East (England)","Hampshire and Isle of Wight","AA","1065","905","21550","21380"
"In post","2023","South East (England)","Hampshire and Isle of Wight","AO","3385","2925","24620","22330"
"In post","2023","South East (England)","Hampshire and Isle of Wight","EO","3330","3115","28370","27740"
"In post","2023","South East (England)","Hampshire and Isle of Wight","G6","425","405","70600","67430"
"In post","2023","South East (England)","Hampshire and Isle of Wight","G7","1875","1800","55110","54100"
"In post","2023","South East (England)","Hampshire and Isle of Wight","HEO","2865","2755","33690","33990"
"In post","2023","South East (England)","Hampshire and Isle of Wight","SCS level","105","100","94910","93030"
"In post","2023","South East (England)","Hampshire and Isle of Wight","SEO","2215","2140","41610","41000"
"In post","2023","South East (England)","Hampshire and Isle of Wight","Unknown","605","555","30020","26840"
"In post","2023","South East (England)","Kent","AA","415","390","22560","23230"
"In post","2023","South East (England)","Kent","AO","2410","2260","27180","25610"
"In post","2023","South East (England)","Kent","EO","3720","3455","29050","27650"
"In post","2023","South East (England)","Kent","G6","75","75","74160","71250"
"In post","2023","South East (England)","Kent","G7","225","215","57980","54470"
"In post","2023","South East (England)","Kent","HEO","1115","1065","35320","33330"
"In post","2023","South East (England)","Kent","SCS level","15","15","97350","99000"
"In post","2023","South East (England)","Kent","SEO","515","495","44160","42140"
"In post","2023","South East (England)","Kent","Unknown","585","545","29600","27530"
"In post","2023","South East (England)","Surrey, East and West Sussex","AA","425","390","23230","23230"
"In post","2023","South East (England)","Surrey, East and West Sussex","AO","2245","2055","26890","25340"
"In post","2023","South East (England)","Surrey, East and West Sussex","EO","2870","2580","29270","28120"
"In post","2023","South East (England)","Surrey, East and West Sussex","G6","195","190","71060","68120"
"In post","2023","South East (England)","Surrey, East and West Sussex","G7","485","465","57820","56360"
"In post","2023","South East (England)","Surrey, East and West Sussex","HEO","1080","1025","35360","34300"
"In post","2023","South East (England)","Surrey, East and West Sussex","SCS level","55","50","91580","83930"
"In post","2023","South East (England)","Surrey, East and West Sussex","SEO","730","695","43560","42140"
"In post","2023","South East (England)","Surrey, East and West Sussex","Unknown","690","625","31340","29050"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","AA","105","95","20730","21380"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","AO","535","480","21960","21690"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","EO","565","515","27860","28120"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","G6","25","25","71210","65930"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","G7","70","65","56280","53750"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","HEO","200","185","33790","34170"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","SEO","100","95","41280","39090"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","Unknown","125","110","29380","26500"
"In post","2023","South West (England)","Devon","AA","560","530","21900","21380"
"In post","2023","South West (England)","Devon","AO","2380","2135","24950","22500"
"In post","2023","South West (England)","Devon","EO","2195","1975","28390","28120"
"In post","2023","South West (England)","Devon","G6","300","280","65300","61990"
"In post","2023","South West (England)","Devon","G7","815","775","51520","49400"
"In post","2023","South West (England)","Devon","HEO","1340","1260","34640","34170"
"In post","2023","South West (England)","Devon","SCS level","35","35","93500","90660"
"In post","2023","South West (England)","Devon","SEO","1345","1275","41830","40060"
"In post","2023","South West (England)","Devon","Unknown","565","525","32840","29050"
"In post","2023","South West (England)","Dorset and Somerset","AA","375","345","21940","21380"
"In post","2023","South West (England)","Dorset and Somerset","AO","1305","1205","25170","22400"
"In post","2023","South West (England)","Dorset and Somerset","EO","1545","1410","28510","28120"
"In post","2023","South West (England)","Dorset and Somerset","G6","95","95","72540","69790"
"In post","2023","South West (England)","Dorset and Somerset","G7","260","250","56170","55470"
"In post","2023","South West (England)","Dorset and Somerset","HEO","960","910","34820","34370"
"In post","2023","South West (England)","Dorset and Somerset","SCS level","10","10","94610","88550"
"In post","2023","South West (England)","Dorset and Somerset","SEO","625","600","43650","43890"
"In post","2023","South West (England)","Dorset and Somerset","Unknown","395","360","29280","26840"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA","585","550","21820","21380"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AO","3865","3605","24080","22220"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","4465","4150","27960","27780"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6","1380","1320","69580","69500"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G7","4705","4530","53920","54090"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","6340","6065","33270","33400"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","330","320","98610","92090"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","6465","6220","41710","41510"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","2425","2310","39080","34870"
"In post","2023","Unknown","Unknown","AA","30","25","22730","23230"
"In post","2023","Unknown","Unknown","AO","165","160","23610","21780"
"In post","2023","Unknown","Unknown","EO","380","350","28070","28120"
"In post","2023","Unknown","Unknown","G6","30","30","68350","66860"
"In post","2023","Unknown","Unknown","G7","95","90","56590","55790"
"In post","2023","Unknown","Unknown","HEO","165","155","37940","35240"
"In post","2023","Unknown","Unknown","SCS level","15","15","99000","85680"
"In post","2023","Unknown","Unknown","SEO","125","120","44850","43190"
"In post","2023","Unknown","Unknown","Unknown","1710","1705","41910","40000"
"In post","2023","Wales","East Wales","AA","420","400","21680","21380"
"In post","2023","Wales","East Wales","AO","4780","4335","23740","22520"
"In post","2023","Wales","East Wales","EO","4900","4590","28050","28120"
"In post","2023","Wales","East Wales","G6","625","605","69560","69580"
"In post","2023","Wales","East Wales","G7","2450","2345","57330","57070"
"In post","2023","Wales","East Wales","HEO","3995","3815","34610","34700"
"In post","2023","Wales","East Wales","SCS level","300","290","87740","81600"
"In post","2023","Wales","East Wales","SEO","3120","3010","42930","42140"
"In post","2023","Wales","East Wales","Unknown","685","645","30240","29050"
"In post","2023","Wales","West Wales and The Valleys","AA","1275","1030","19510","19000"
"In post","2023","Wales","West Wales and The Valleys","AO","5575","4935","22810","22500"
"In post","2023","Wales","West Wales and The Valleys","EO","4730","4355","28130","28120"
"In post","2023","Wales","West Wales and The Valleys","G6","270","260","74890","76990"
"In post","2023","Wales","West Wales and The Valleys","G7","750","725","58560","58140"
"In post","2023","Wales","West Wales and The Valleys","HEO","2230","2110","35350","34170"
"In post","2023","Wales","West Wales and The Valleys","SCS level","50","45","91380","82600"
"In post","2023","Wales","West Wales and The Valleys","SEO","1540","1485","44330","43160"
"In post","2023","Wales","West Wales and The Valleys","Unknown","955","900","29730","27530"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA","295","275","22140","23230"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AO","1415","1310","25690","22220"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","1035","960","28720","28120"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6","55","55","72670","69060"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G7","160","150","55370","52100"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","HEO","420","400","34100","33830"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SCS level","15","15","90900","81750"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO","295","280","43220","41290"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","435","400","30720","29050"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","AA","520","485","22350","23230"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","AO","2535","2340","25960","23390"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","EO","2450","2280","28910","28120"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","G6","210","200","72230","69940"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","G7","600","585","57140","56830"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","HEO","1365","1305","34900","34400"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","SCS level","50","50","98450","94960"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","SEO","1080","1045","43420","42140"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","Unknown","565","515","31070","29050"
"In post","2023","West Midlands (England)","West Midlands","AA","350","310","21150","20200"
"In post","2023","West Midlands (England)","West Midlands","AO","5360","4790","22570","21780"
"In post","2023","West Midlands (England)","West Midlands","EO","6005","5515","27930","28120"
"In post","2023","West Midlands (England)","West Midlands","G6","520","505","68600","66860"
"In post","2023","West Midlands (England)","West Midlands","G7","1745","1685","54540","52530"
"In post","2023","West Midlands (England)","West Midlands","HEO","3365","3235","34070","34170"
"In post","2023","West Midlands (England)","West Midlands","SCS level","180","175","1e+05","91670"
"In post","2023","West Midlands (England)","West Midlands","SEO","2160","2085","41320","40290"
"In post","2023","West Midlands (England)","West Midlands","Unknown","1275","1180","29600","29050"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA","300","280","22830","23230"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AO","1800","1625","27030","28560"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","1635","1495","28770","28120"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6","35","35","70670","67040"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G7","135","130","55960","54260"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","HEO","475","445","34800","34170"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO","230","220","43750","41260"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","465","425","30390","29050"
"In post","2023","Yorkshire and The Humber","North Yorkshire","AA","265","250","21040","21380"
"In post","2023","Yorkshire and The Humber","North Yorkshire","AO","965","895","24800","22220"
