"Status","Year","Age","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Leicester","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Essex Haven Gateway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex Haven Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Thurrock","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Thurrock","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Thurrock","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Barnet","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
