"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","AA/AO","25","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Economics","EO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","AA/AO","395","385","23850","22520"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","AA/AO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","AA/AO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Social Research","EO","[c]","[c]","[c]","[c]"
