"Status","Year","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
