"Status","Year","Age","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","AA/AO","15","10","23330","22150"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Outside London","AA/AO","45","45","20950","20270"
"In post","2023","16-19","Crown Prosecution Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Outside London","AA/AO","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Outside London","AA/AO","105","105","19110","18780"
"In post","2023","16-19","Defence Equipment and Support","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","AA/AO","30","30","21740","23340"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","5","5","[c]","[c]"
