"Status","Year","Age","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","60-64","Unknown","Outside London","535","[c]","27700","23230"
"New entrant CS","2023","60-64","Unknown","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","White","London","70","[c]","47670","43000"
"New entrant CS","2023","60-64","White","Outside London","725","[c]","29690","23640"
"New entrant CS","2023","60-64","White","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Asian","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Asian","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Black","London","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","Black","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Mixed","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Mixed","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Other ethnicity","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Undeclared","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Unknown","London","25","[c]","[c]","[c]"
"New entrant CS","2023","65+","Unknown","Outside London","145","[c]","29400","23230"
"New entrant CS","2023","65+","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","White","London","20","[c]","[c]","[c]"
"New entrant CS","2023","65+","White","Outside London","190","[c]","29630","23210"
"New entrant CS","2023","65+","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Asian","London","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Asian","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Black","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Black","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Mixed","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Mixed","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Other ethnicity","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Undeclared","London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","London","30","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Outside London","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","White","London","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","White","Outside London","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
