"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","AO","65","55","23670","22500"
"In post","2023","Declared disabled","Commercial","EO","EO","85","85","28150","27470"
"In post","2023","Declared disabled","Commercial","G6/G7","G6","70","70","76330","73330"
"In post","2023","Declared disabled","Commercial","G6/G7","G7","170","165","59080","56070"
"In post","2023","Declared disabled","Commercial","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","HEO","190","185","33790","34170"
"In post","2023","Declared disabled","Commercial","SEO/HEO","SEO","245","235","42660","41970"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","EO","60","55","28650","28080"
"In post","2023","Declared disabled","Communications","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6/G7","G7","60","55","56220","56320"
"In post","2023","Declared disabled","Communications","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","HEO","90","85","35330","34670"
"In post","2023","Declared disabled","Communications","SEO/HEO","SEO","90","90","42910","42680"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","AO","300","255","23050","21690"
"In post","2023","Declared disabled","Counter Fraud","EO","EO","750","675","28980","28120"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","HEO","265","250","35550","34170"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","SEO","60","55","42040","42170"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","AO","55","55","22990","22220"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","EO","410","385","28550","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","G6","140","140","70050","69060"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","G7","490","480","55920","55470"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","SCS level","30","30","93810","87700"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","HEO","585","565","34510","34170"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","SEO","520","505","42100","41800"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","G7","45","40","58190","57650"
"In post","2023","Declared disabled","Economics","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","HEO","45","45","35760","35410"
"In post","2023","Declared disabled","Economics","SEO/HEO","SEO","15","15","[c]","[c]"
