"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","AA/AO","15","15","21690","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Wales","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","AA/AO","10","10","21690","21690"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Wales","AA/AO","75","65","20540","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","South East (England)","Unknown","25","25","23190","22750"
"In post","2023","16-19","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Wales","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","West Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","East Midlands (England)","AA/AO","45","45","26860","28880"
"In post","2023","16-19","HM Prison and Probation Service","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","East of England","AA/AO","35","35","26440","28880"
"In post","2023","16-19","HM Prison and Probation Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","North East (England)","AA/AO","15","15","27100","28880"
"In post","2023","16-19","HM Prison and Probation Service","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","North West (England)","AA/AO","30","30","26480","28880"
"In post","2023","16-19","HM Prison and Probation Service","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","South East (England)","AA/AO","40","40","26900","26020"
"In post","2023","16-19","HM Prison and Probation Service","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","South West (England)","AA/AO","25","25","26100","24070"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Wales","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","West Midlands (England)","AA/AO","25","25","26140","26470"
"In post","2023","16-19","HM Prison and Probation Service","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Yorkshire and The Humber","AA/AO","35","35","26600","28880"
"In post","2023","16-19","HM Prison and Probation Service","Yorkshire and The Humber","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","East Midlands (England)","AA/AO","15","15","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","North East (England)","AA/AO","20","20","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","North West (England)","AA/AO","25","25","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Scotland","AA/AO","25","25","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Wales","AA/AO","20","20","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","West Midlands (England)","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","AA/AO","30","30","22520","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","East of England","AA/AO","15","15","22400","22400"
"In post","2023","16-19","Home Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","London","AA/AO","20","15","26400","26400"
"In post","2023","16-19","Home Office","London","EO","10","10","[c]","[c]"
"In post","2023","16-19","Home Office","North East (England)","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","Home Office","North West (England)","AA/AO","20","15","22400","22400"
"In post","2023","16-19","Home Office","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","South East (England)","AA/AO","30","30","22400","22400"
"In post","2023","16-19","Home Office","South East (England)","EO","10","10","25850","25750"
"In post","2023","16-19","Home Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Yorkshire and The Humber","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","South West (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","South West (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","West Midlands (England)","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Scotland","AA/AO","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Scotland","AA/AO","15","15","23460","24710"
"In post","2023","16-19","Scottish Public Pensions Agency","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Scotland","AA/AO","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","South West (England)","Unknown","20","20","18720","18280"
"In post","2023","16-19","The Insolvency Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","North East (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","South East (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Wales","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","North East (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Wales","AA/AO","10","10","22670","22150"
"In post","2023","20-29","Accountant in Bankruptcy","Scotland","AA/AO","10","10","22920","22180"
"In post","2023","20-29","Accountant in Bankruptcy","Scotland","EO","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Yorkshire and The Humber","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
