"Status","Year","Disability","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","East Midlands (England)","Outside London","75","70","38030","31740"
"In post","2023","Declared disabled","Attorney General's Departments","East of England","Outside London","65","55","41430","36780"
"In post","2023","Declared disabled","Attorney General's Departments","London","London","475","445","49920","52020"
"In post","2023","Declared disabled","Attorney General's Departments","North East (England)","Outside London","45","45","35730","28850"
"In post","2023","Declared disabled","Attorney General's Departments","North West (England)","Outside London","145","130","41200","35000"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","South East (England)","Outside London","115","105","42960","40130"
"In post","2023","Declared disabled","Attorney General's Departments","South West (England)","Outside London","55","50","40030","31180"
"In post","2023","Declared disabled","Attorney General's Departments","Wales","Outside London","45","40","39890","38760"
"In post","2023","Declared disabled","Attorney General's Departments","West Midlands (England)","Outside London","70","65","42520","49050"
"In post","2023","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Outside London","120","115","40290","33810"
"In post","2023","Declared disabled","Cabinet Office","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","East of England","Outside London","30","30","48660","40620"
"In post","2023","Declared disabled","Cabinet Office","London","London","730","720","46850","40090"
"In post","2023","Declared disabled","Cabinet Office","North East (England)","Outside London","80","75","32140","26300"
"In post","2023","Declared disabled","Cabinet Office","North West (England)","Outside London","130","125","46190","40620"
"In post","2023","Declared disabled","Cabinet Office","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Scotland","Outside London","65","65","39380","33020"
"In post","2023","Declared disabled","Cabinet Office","South East (England)","Outside London","40","40","47540","35710"
"In post","2023","Declared disabled","Cabinet Office","South West (England)","Outside London","50","50","53920","51290"
"In post","2023","Declared disabled","Cabinet Office","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Wales","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","West Midlands (England)","Outside London","35","35","48920","40310"
"In post","2023","Declared disabled","Cabinet Office","Yorkshire and The Humber","Outside London","165","160","39400","34320"
"In post","2023","Declared disabled","Chancellor's other departments","London","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","North West (England)","Outside London","25","25","[c]","[c]"
