"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","AO","10","10","23340","23340"
"In post","2023","16-19","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Medicines and Healthcare Products Regulatory Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","EO","15","15","24840","24840"
"In post","2023","16-19","Commercial","Defence Equipment and Support","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Prison Service","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Medicines and Healthcare Products Regulatory Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","National Savings and Investments","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs (excl. agencies)","AO","45","45","22710","22520"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Met Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Met Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Prison Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Defence Equipment and Support","AO","15","15","19540","19460"
"In post","2023","16-19","Finance","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","FCDO Services","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Government Legal Department","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs (excl. agencies)","AO","10","5","22960","22520"
"In post","2023","16-19","Finance","Ministry of Defence (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Rural Payments Agency","AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence (excl. agencies)","AO","5","5","[c]","[c]"
