"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Commercial","SEO","245","245","41040","41880"
"In post","2023","20-29","Commercial","Unknown","30","30","31730","28490"
"In post","2023","20-29","Communications","AO","40","40","23670","22520"
"In post","2023","20-29","Communications","EO","155","155","28130","28070"
"In post","2023","20-29","Communications","G7","55","55","55490","55720"
"In post","2023","20-29","Communications","HEO","390","390","35260","35010"
"In post","2023","20-29","Communications","SEO","200","200","42780","42180"
"In post","2023","20-29","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","300","295","23320","22520"
"In post","2023","20-29","Counter Fraud","EO","1175","1165","29150","28120"
"In post","2023","20-29","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","40","40","58420","56870"
"In post","2023","20-29","Counter Fraud","HEO","420","415","35680","34700"
"In post","2023","20-29","Counter Fraud","SEO","65","65","41940","42140"
"In post","2023","20-29","Debt","AO","1515","1465","22640","22520"
"In post","2023","20-29","Debt","EO","175","170","28090","28120"
"In post","2023","20-29","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","HEO","25","25","34530","34400"
"In post","2023","20-29","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA","35","35","19960","19080"
"In post","2023","20-29","Digital, Data & Technology","AO","210","210","22510","22220"
"In post","2023","20-29","Digital, Data & Technology","EO","1060","1045","27870","27650"
"In post","2023","20-29","Digital, Data & Technology","G6","25","25","66680","66860"
"In post","2023","20-29","Digital, Data & Technology","G7","365","365","54820","55020"
"In post","2023","20-29","Digital, Data & Technology","HEO","1415","1405","33940","34170"
"In post","2023","20-29","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SEO","870","870","41370","41480"
"In post","2023","20-29","Digital, Data & Technology","Unknown","25","25","28810","24750"
"In post","2023","20-29","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","AO","370","355","23080","22520"
"In post","2023","20-29","Finance","EO","420","420","27910","27650"
"In post","2023","20-29","Finance","G6","15","15","67880","66290"
"In post","2023","20-29","Finance","G7","150","150","55270","55250"
"In post","2023","20-29","Finance","HEO","515","510","34180","34170"
"In post","2023","20-29","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SEO","240","240","41350","41550"
"In post","2023","20-29","Finance","Unknown","15","15","32140","31920"
"In post","2023","20-29","Grants Management","AO","300","290","22110","22150"
"In post","2023","20-29","Grants Management","EO","85","85","25800","25920"
"In post","2023","20-29","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","HEO","20","20","31470","30320"
"In post","2023","20-29","Grants Management","SEO","15","15","40090","37300"
"In post","2023","20-29","Human Resources","AA","15","15","20270","20060"
"In post","2023","20-29","Human Resources","AO","240","235","22610","22220"
"In post","2023","20-29","Human Resources","EO","515","510","27670","27760"
"In post","2023","20-29","Human Resources","G6","15","15","68190","69140"
"In post","2023","20-29","Human Resources","G7","155","155","55090","55120"
"In post","2023","20-29","Human Resources","HEO","545","545","33200","32980"
"In post","2023","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","SEO","170","170","41310","41480"
"In post","2023","20-29","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","EO","10","10","28220","27540"
"In post","2023","20-29","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","HEO","30","30","34540","34300"
"In post","2023","20-29","Internal Audit","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Legal","AO","605","595","23040","22870"
"In post","2023","20-29","Legal","EO","690","685","28330","27890"
"In post","2023","20-29","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","G7","345","345","52900","52360"
"In post","2023","20-29","Legal","HEO","220","220","36570","34700"
"In post","2023","20-29","Legal","SEO","115","115","40190","38940"
"In post","2023","20-29","No function","AA","1945","1865","22400","23230"
"In post","2023","20-29","No function","AO","18825","18350","25290","22520"
"In post","2023","20-29","No function","EO","13955","13785","28600","28120"
"In post","2023","20-29","No function","G6","210","210","67070","66490"
"In post","2023","20-29","No function","G7","2785","2780","55590","55120"
"In post","2023","20-29","No function","HEO","8240","8190","34270","34310"
"In post","2023","20-29","No function","SCS level","10","10","[c]","[c]"
"In post","2023","20-29","No function","SEO","3775","3760","41600","41440"
"In post","2023","20-29","No function","Unknown","4455","4350","25660","24570"
"In post","2023","20-29","Project Delivery","AA","30","30","18880","19080"
"In post","2023","20-29","Project Delivery","AO","185","185","23050","23200"
"In post","2023","20-29","Project Delivery","EO","470","460","27460","27140"
"In post","2023","20-29","Project Delivery","G6","20","20","68980","67160"
"In post","2023","20-29","Project Delivery","G7","295","295","55040","55030"
"In post","2023","20-29","Project Delivery","HEO","1295","1290","33330","33500"
"In post","2023","20-29","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","SEO","625","620","41210","41360"
"In post","2023","20-29","Project Delivery","Unknown","420","415","30370","31920"
"In post","2023","20-29","Property","AA","60","55","19940","19770"
"In post","2023","20-29","Property","AO","270","260","23130","22520"
"In post","2023","20-29","Property","EO","295","290","27640","26890"
"In post","2023","20-29","Property","G6","5","5","[c]","[c]"
"In post","2023","20-29","Property","G7","35","35","52640","53040"
"In post","2023","20-29","Property","HEO","315","315","32510","32330"
"In post","2023","20-29","Property","SEO","125","120","42510","42840"
"In post","2023","20-29","Property","Unknown","15","15","25210","23800"
"In post","2023","20-29","Security","AA","190","190","23670","22130"
"In post","2023","20-29","Security","AO","565","560","28250","27480"
"In post","2023","20-29","Security","EO","240","235","28240","27470"
"In post","2023","20-29","Security","G7","45","45","54390","55280"
"In post","2023","20-29","Security","HEO","180","180","35130","34950"
"In post","2023","20-29","Security","SEO","80","80","42600","42150"
"In post","2023","20-29","Security","Unknown","10","10","29480","31920"
"In post","2023","20-29","Unknown","AA","740","715","23100","23340"
"In post","2023","20-29","Unknown","AO","665","650","25120","25620"
"In post","2023","20-29","Unknown","EO","1190","1175","29510","29100"
"In post","2023","20-29","Unknown","G6","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","G7","165","165","54420","54870"
"In post","2023","20-29","Unknown","HEO","2170","2160","32720","32960"
"In post","2023","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SEO","545","540","42290","41640"
"In post","2023","20-29","Unknown","Unknown","375","375","32320","33320"
"In post","2023","30-39","Analysis","AO","15","15","22820","22500"
"In post","2023","30-39","Analysis","EO","150","145","27360","25990"
"In post","2023","30-39","Analysis","G6","295","285","71560","68150"
"In post","2023","30-39","Analysis","G7","955","920","55520","55250"
"In post","2023","30-39","Analysis","HEO","570","550","33710","33010"
"In post","2023","30-39","Analysis","SCS level","40","40","79740","78060"
"In post","2023","30-39","Analysis","SEO","850","820","41220","40150"
"In post","2023","30-39","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","AO","60","55","22840","22220"
"In post","2023","30-39","Commercial","EO","165","155","27360","27080"
"In post","2023","30-39","Commercial","G6","115","110","72550","70710"
"In post","2023","30-39","Commercial","G7","445","440","59040","56180"
"In post","2023","30-39","Commercial","HEO","385","370","33410","33040"
"In post","2023","30-39","Commercial","SCS level","15","15","105610","105310"
"In post","2023","30-39","Commercial","SEO","535","525","41270","41200"
"In post","2023","30-39","Commercial","Unknown","50","45","40240","42620"
"In post","2023","30-39","Communications","AO","20","20","22590","22490"
"In post","2023","30-39","Communications","EO","90","85","28280","27470"
"In post","2023","30-39","Communications","G6","100","95","68390","67690"
"In post","2023","30-39","Communications","G7","320","310","56280","56240"
"In post","2023","30-39","Communications","HEO","275","260","34810","34370"
"In post","2023","30-39","Communications","SCS level","25","25","87160","78960"
"In post","2023","30-39","Communications","SEO","385","380","42870","42530"
"In post","2023","30-39","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AO","290","260","23090","22520"
"In post","2023","30-39","Counter Fraud","EO","1585","1525","28920","28130"
"In post","2023","30-39","Counter Fraud","G6","40","40","70010","69940"
"In post","2023","30-39","Counter Fraud","G7","245","240","58170","57970"
"In post","2023","30-39","Counter Fraud","HEO","1080","1055","35540","34700"
"In post","2023","30-39","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","SEO","295","290","42570","42140"
"In post","2023","30-39","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","AO","1220","1095","22450","22520"
"In post","2023","30-39","Debt","EO","285","275","28150","28120"
"In post","2023","30-39","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","HEO","65","60","34580","34700"
"In post","2023","30-39","Debt","SEO","20","20","42180","42140"
"In post","2023","30-39","Digital, Data & Technology","AA","10","10","22710","22040"
"In post","2023","30-39","Digital, Data & Technology","AO","130","125","22600","22220"
"In post","2023","30-39","Digital, Data & Technology","EO","820","800","28380","28080"
"In post","2023","30-39","Digital, Data & Technology","G6","355","350","68640","66860"
"In post","2023","30-39","Digital, Data & Technology","G7","1565","1540","55540","55720"
"In post","2023","30-39","Digital, Data & Technology","HEO","1590","1560","34330","34250"
"In post","2023","30-39","Digital, Data & Technology","SCS level","55","55","91050","86670"
"In post","2023","30-39","Digital, Data & Technology","SEO","1865","1830","41680","41480"
"In post","2023","30-39","Digital, Data & Technology","Unknown","15","15","35790","38790"
"In post","2023","30-39","Finance","AA","5","5","[c]","[c]"
"In post","2023","30-39","Finance","AO","260","240","22930","22520"
"In post","2023","30-39","Finance","EO","375","360","28030","27890"
"In post","2023","30-39","Finance","G6","215","210","69300","69500"
"In post","2023","30-39","Finance","G7","505","490","56290","55620"
"In post","2023","30-39","Finance","HEO","595","575","34510","34170"
"In post","2023","30-39","Finance","SCS level","50","50","82190","78450"
"In post","2023","30-39","Finance","SEO","615","600","42350","41880"
"In post","2023","30-39","Finance","Unknown","15","10","47360","48790"
"In post","2023","30-39","Grants Management","AO","275","255","22130","22150"
"In post","2023","30-39","Grants Management","EO","125","120","25990","25920"
"In post","2023","30-39","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","G7","20","20","55090","59000"
"In post","2023","30-39","Grants Management","HEO","45","45","30550","30320"
"In post","2023","30-39","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","SEO","25","25","38750","37300"
"In post","2023","30-39","Human Resources","AA","10","10","20740","20290"
"In post","2023","30-39","Human Resources","AO","205","185","22810","22220"
"In post","2023","30-39","Human Resources","EO","630","595","27830","27890"
"In post","2023","30-39","Human Resources","G6","165","165","67210","66750"
"In post","2023","30-39","Human Resources","G7","390","380","55020","55150"
"In post","2023","30-39","Human Resources","HEO","905","870","35100","34300"
"In post","2023","30-39","Human Resources","SCS level","35","35","82120","79370"
"In post","2023","30-39","Human Resources","SEO","645","630","41730","41210"
"In post","2023","30-39","Human Resources","Unknown","25","25","35140","35030"
"In post","2023","30-39","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","G6","10","10","[c]","[c]"
"In post","2023","30-39","Internal Audit","G7","30","30","53320","52000"
"In post","2023","30-39","Internal Audit","HEO","30","30","34530","34140"
"In post","2023","30-39","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","SEO","55","55","42870","42700"
"In post","2023","30-39","Legal","AO","235","210","23430","22870"
"In post","2023","30-39","Legal","EO","400","380","28570","28130"
"In post","2023","30-39","Legal","G6","440","420","69240","67610"
"In post","2023","30-39","Legal","G7","1525","1460","54750","53390"
"In post","2023","30-39","Legal","HEO","280","275","35900","35000"
"In post","2023","30-39","Legal","SCS level","40","35","81290","79000"
"In post","2023","30-39","Legal","SEO","230","225","40620","40540"
"In post","2023","30-39","No function","AA","1640","1480","22310","23230"
"In post","2023","30-39","No function","AO","18705","17210","25390","22520"
"In post","2023","30-39","No function","EO","19925","18930","29070","28120"
"In post","2023","30-39","No function","G6","2360","2285","67580","66530"
"In post","2023","30-39","No function","G7","6830","6690","56000","55370"
"In post","2023","30-39","No function","HEO","11255","10930","34820","34700"
"In post","2023","30-39","No function","SCS level","640","620","80150","76330"
"In post","2023","30-39","No function","SEO","7105","6940","42450","41870"
"In post","2023","30-39","No function","Unknown","4970","4625","29780","29050"
"In post","2023","30-39","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Project Delivery","AO","45","40","22950","22520"
"In post","2023","30-39","Project Delivery","EO","360","340","27840","27890"
"In post","2023","30-39","Project Delivery","G6","385","380","69250","68090"
"In post","2023","30-39","Project Delivery","G7","1310","1280","54770","55020"
"In post","2023","30-39","Project Delivery","HEO","1145","1110","34030","34170"
"In post","2023","30-39","Project Delivery","SCS level","75","70","83270","79800"
"In post","2023","30-39","Project Delivery","SEO","1510","1470","41530","41700"
"In post","2023","30-39","Project Delivery","Unknown","370","360","42300","42620"
"In post","2023","30-39","Property","AA","50","45","20450","19770"
"In post","2023","30-39","Property","AO","230","215","23780","22520"
"In post","2023","30-39","Property","EO","250","240","28040","27140"
"In post","2023","30-39","Property","G6","45","45","65240","65650"
"In post","2023","30-39","Property","G7","175","170","54670","55110"
"In post","2023","30-39","Property","HEO","350","345","33790","33960"
"In post","2023","30-39","Property","SCS level","5","5","[c]","[c]"
"In post","2023","30-39","Property","SEO","310","305","42630","42140"
"In post","2023","30-39","Property","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Security","AA","325","320","23220","21380"
"In post","2023","30-39","Security","AO","685","680","34390","35010"
"In post","2023","30-39","Security","EO","270","265","32170","28370"
"In post","2023","30-39","Security","G6","35","35","68580","66720"
"In post","2023","30-39","Security","G7","150","145","56090","55780"
"In post","2023","30-39","Security","HEO","270","265","35890","34320"
"In post","2023","30-39","Security","SCS level","5","5","[c]","[c]"
"In post","2023","30-39","Security","SEO","165","165","42920","42890"
"In post","2023","30-39","Security","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Unknown","AA","520","480","23290","23340"
"In post","2023","30-39","Unknown","AO","515","495","26290","25710"
"In post","2023","30-39","Unknown","EO","1380","1320","30120","29450"
"In post","2023","30-39","Unknown","G6","250","245","72220","70920"
"In post","2023","30-39","Unknown","G7","1220","1180","56920","55270"
"In post","2023","30-39","Unknown","HEO","1725","1665","36060","35410"
"In post","2023","30-39","Unknown","SCS level","40","40","81910","81750"
"In post","2023","30-39","Unknown","SEO","1535","1480","44640","42860"
"In post","2023","30-39","Unknown","Unknown","380","380","42120","41080"
"In post","2023","40-49","Analysis","AO","10","10","23090","22210"
"In post","2023","40-49","Analysis","EO","130","120","27240","26090"
"In post","2023","40-49","Analysis","G6","295","280","73510","70550"
"In post","2023","40-49","Analysis","G7","730","685","56040","55720"
"In post","2023","40-49","Analysis","HEO","305","285","33630","33110"
"In post","2023","40-49","Analysis","SCS level","100","95","87740","80920"
"In post","2023","40-49","Analysis","SEO","465","435","41760","41050"
"In post","2023","40-49","Commercial","AA","10","5","[c]","[c]"
"In post","2023","40-49","Commercial","AO","55","55","24100","23460"
"In post","2023","40-49","Commercial","EO","130","125","27920","27250"
"In post","2023","40-49","Commercial","G6","265","265","73940","70710"
"In post","2023","40-49","Commercial","G7","535","525","58560","56000"
"In post","2023","40-49","Commercial","HEO","285","270","33500","33830"
"In post","2023","40-49","Commercial","SCS level","110","110","110630","103150"
"In post","2023","40-49","Commercial","SEO","475","460","41740","41570"
"In post","2023","40-49","Commercial","Unknown","35","35","45340","42620"
"In post","2023","40-49","Communications","AO","30","25","23090","22220"
"In post","2023","40-49","Communications","EO","80","75","28930","27740"
"In post","2023","40-49","Communications","G6","115","110","69260","68610"
"In post","2023","40-49","Communications","G7","260","250","56390","55880"
"In post","2023","40-49","Communications","HEO","180","170","35560","34680"
"In post","2023","40-49","Communications","SCS level","70","70","91480","86700"
"In post","2023","40-49","Communications","SEO","310","290","42610","42050"
"In post","2023","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","AO","410","360","23150","22520"
"In post","2023","40-49","Counter Fraud","EO","1450","1365","29030","28120"
"In post","2023","40-49","Counter Fraud","G6","100","95","71250","71300"
"In post","2023","40-49","Counter Fraud","G7","245","235","58550","57970"
"In post","2023","40-49","Counter Fraud","HEO","1085","1045","35850","35000"
"In post","2023","40-49","Counter Fraud","SCS level","15","15","82370","80500"
"In post","2023","40-49","Counter Fraud","SEO","460","450","42770","42510"
"In post","2023","40-49","Debt","AA","10","5","[c]","[c]"
"In post","2023","40-49","Debt","AO","1060","925","22470","22520"
"In post","2023","40-49","Debt","EO","295","270","28650","28130"
"In post","2023","40-49","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Debt","G7","10","10","[c]","[c]"
"In post","2023","40-49","Debt","HEO","65","60","34810","34700"
"In post","2023","40-49","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Debt","SEO","15","15","42300","42510"
"In post","2023","40-49","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","AO","120","115","22630","22220"
"In post","2023","40-49","Digital, Data & Technology","EO","755","725","28610","28120"
"In post","2023","40-49","Digital, Data & Technology","G6","720","715","69080","67870"
"In post","2023","40-49","Digital, Data & Technology","G7","1910","1870","56100","55780"
"In post","2023","40-49","Digital, Data & Technology","HEO","1405","1365","34980","34370"
"In post","2023","40-49","Digital, Data & Technology","SCS level","160","160","95500","91110"
"In post","2023","40-49","Digital, Data & Technology","SEO","1900","1860","42220","41800"
"In post","2023","40-49","Digital, Data & Technology","Unknown","25","20","35570","33990"
"In post","2023","40-49","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","AO","295","255","22790","22520"
"In post","2023","40-49","Finance","EO","415","390","28330","28090"
"In post","2023","40-49","Finance","G6","300","290","69590","69940"
"In post","2023","40-49","Finance","G7","610","595","55730","55720"
"In post","2023","40-49","Finance","HEO","655","630","34710","34300"
"In post","2023","40-49","Finance","SCS level","145","140","88800","80500"
"In post","2023","40-49","Finance","SEO","810","785","42210","41890"
"In post","2023","40-49","Finance","Unknown","15","15","53890","56240"
"In post","2023","40-49","Grants Management","AO","385","340","22130","22150"
"In post","2023","40-49","Grants Management","EO","205","190","26030","25920"
"In post","2023","40-49","Grants Management","G6","10","10","62820","61170"
"In post","2023","40-49","Grants Management","G7","25","20","50810","49400"
"In post","2023","40-49","Grants Management","HEO","95","90","30900","30640"
"In post","2023","40-49","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","SEO","50","50","37910","37300"
"In post","2023","40-49","Human Resources","AA","20","15","21500","21380"
"In post","2023","40-49","Human Resources","AO","215","195","22840","22220"
"In post","2023","40-49","Human Resources","EO","710","675","28590","28120"
"In post","2023","40-49","Human Resources","G6","220","215","68350","67310"
"In post","2023","40-49","Human Resources","G7","640","615","55460","55150"
"In post","2023","40-49","Human Resources","HEO","935","895","36620","34300"
"In post","2023","40-49","Human Resources","SCS level","105","105","89400","81600"
"In post","2023","40-49","Human Resources","SEO","670","645","41850","41510"
"In post","2023","40-49","Human Resources","Unknown","35","30","39830","38290"
"In post","2023","40-49","Internal Audit","AO","5","5","[c]","[c]"
"In post","2023","40-49","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","G6","20","20","66130","64280"
"In post","2023","40-49","Internal Audit","G7","45","45","55090","54680"
"In post","2023","40-49","Internal Audit","HEO","35","35","34900","33990"
"In post","2023","40-49","Internal Audit","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Internal Audit","SEO","60","60","44620","43310"
"In post","2023","40-49","Legal","AA","5","5","[c]","[c]"
"In post","2023","40-49","Legal","AO","305","265","23340","22870"
"In post","2023","40-49","Legal","EO","415","380","28680","28410"
"In post","2023","40-49","Legal","G6","710","655","70700","68900"
"In post","2023","40-49","Legal","G7","1435","1315","56750","55170"
"In post","2023","40-49","Legal","HEO","255","245","34750","34850"
"In post","2023","40-49","Legal","SCS level","180","175","86730","82100"
"In post","2023","40-49","Legal","SEO","190","180","41330","40800"
"In post","2023","40-49","No function","AA","1950","1765","22090","22920"
"In post","2023","40-49","No function","AO","18035","16110","24390","22500"
"In post","2023","40-49","No function","EO","20120","18695","28950","28120"
"In post","2023","40-49","No function","G6","2875","2755","70040","67950"
"In post","2023","40-49","No function","G7","5800","5625","57050","56000"
"In post","2023","40-49","No function","HEO","9955","9595","35290","34700"
"In post","2023","40-49","No function","SCS level","1565","1490","88110","80000"
"In post","2023","40-49","No function","SEO","7180","6935","43620","42420"
"In post","2023","40-49","No function","Unknown","5130","4740","33260","30840"
"In post","2023","40-49","Project Delivery","AO","45","40","22940","22520"
"In post","2023","40-49","Project Delivery","EO","350","325","28260","28120"
"In post","2023","40-49","Project Delivery","G6","715","700","69530","69140"
"In post","2023","40-49","Project Delivery","G7","1495","1450","55350","55780"
"In post","2023","40-49","Project Delivery","HEO","980","935","34470","34400"
"In post","2023","40-49","Project Delivery","SCS level","260","255","89210","81620"
"In post","2023","40-49","Project Delivery","SEO","1405","1365","41780","41800"
"In post","2023","40-49","Project Delivery","Unknown","340","335","48270","45320"
"In post","2023","40-49","Property","AA","75","70","20250","19770"
"In post","2023","40-49","Property","AO","225","205","23540","22520"
"In post","2023","40-49","Property","EO","300","280","28040","27740"
"In post","2023","40-49","Property","G6","110","110","65090","65410"
"In post","2023","40-49","Property","G7","320","315","55520","55720"
"In post","2023","40-49","Property","HEO","435","425","34590","34300"
"In post","2023","40-49","Property","SCS level","30","30","91300","85880"
"In post","2023","40-49","Property","SEO","450","435","43000","41800"
"In post","2023","40-49","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Security","AA","395","395","22780","21380"
"In post","2023","40-49","Security","AO","630","625","36230","40880"
"In post","2023","40-49","Security","EO","310","300","33070","28470"
"In post","2023","40-49","Security","G6","90","90","69720","69120"
"In post","2023","40-49","Security","G7","160","160","56840","56970"
"In post","2023","40-49","Security","HEO","295","290","37200","35240"
"In post","2023","40-49","Security","SCS level","35","35","94330","90760"
"In post","2023","40-49","Security","SEO","205","200","43240","42540"
"In post","2023","40-49","Security","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","AA","360","330","23590","23340"
"In post","2023","40-49","Unknown","AO","430","400","26850","26220"
"In post","2023","40-49","Unknown","EO","1140","1075","30430","30440"
"In post","2023","40-49","Unknown","G6","690","665","74880","74000"
"In post","2023","40-49","Unknown","G7","1515","1450","59350","59890"
"In post","2023","40-49","Unknown","HEO","1410","1345","37430","38330"
"In post","2023","40-49","Unknown","SCS level","220","215","86830","83530"
"In post","2023","40-49","Unknown","SEO","1575","1515","46660","49370"
"In post","2023","40-49","Unknown","Unknown","320","320","45890","41630"
"In post","2023","50-59","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Analysis","AO","25","25","22940","22500"
