"Status","Year","Ethnicity","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Berkshire","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Birmingham","130","120","36230","28850"
"In post","2023","Asian","Attorney General's Departments","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Croydon","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Ealing","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Heart of Essex","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Hertfordshire CC","30","30","46390","54100"
"In post","2023","Asian","Attorney General's Departments","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Leeds","55","50","44070","49050"
"In post","2023","Asian","Attorney General's Departments","Leicester","60","55","36080","28850"
"In post","2023","Asian","Attorney General's Departments","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Liverpool","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Manchester","35","35","40240","38850"
"In post","2023","Asian","Attorney General's Departments","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Mid Kent","[c]","[c]","[c]","[c]"
