"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","Heterosexual / straight","40","40","38540","40540"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","Heterosexual / straight","40","40","28040","26620"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","Heterosexual / straight","55","55","66530","67530"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","Unknown","10","10","[c]","[c]"
