"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","No function","20","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Debt","15","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Legal","5","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","No function","25","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","No function","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Analysis","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Debt","20","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Digital, Data & Technology","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Finance","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Legal","25","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","No function","275","[c]","24590","23230"
"New entrant CS","2023","16-19","Declared non-disabled","White","Project Delivery","5","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Property","5","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Declared non-disabled","White","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
