"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","G7","15","15","55850","55850"
"In post","2023","Attorney General's Departments","Communications","London","HEO","20","20","33330","32660"
"In post","2023","Attorney General's Departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","SEO","20","20","41200","40540"
"In post","2023","Attorney General's Departments","Communications","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","South West (England)","EO","[c]","[c]","[c]","[c]"
